LOG CRIADO EM: 1/10/2014 21:11:55
ENVIANDO PROGRAMAÇÃO:
025D01F181FFFFF18100000000FFFFFFFB7F0358 --><-- ACK
025E01F182FFFFF18200000000FFFFFFFB7F035B --><-- ACK
025F01F183FFFFF18300000000FFFFFFFB7F035A --><-- ACK
026001F184FFFFF18400000000FFFFFFFB7F0365 --><-- ACK
026101F185FFFFF18500000000FFFFFFFB7F0364 --><-- ACK
026201F186FFFFF18600000000FFFFFFFB7F0367 --><-- ACK
026301F187FFFFF18700000000FFFFFFFB7F0366 --><-- ACK
026401F188FFFFF18800000000FFFFFFFB7F0361 --><-- ACK
026501F189FFFFF18900000000FFFFFFFB7F0360 --><-- ACK
026601F190FFFFF19000000000FFFFFFFB7F0363 --><-- ACK
026701F191FFFFF19100000000FFFFFFFB7F0362 --><-- ACK
026801F192FFFFF19200000000FFFFFFFB7F036D --><-- ACK
026901F193FFFFF19300000000FFFFFFFB7F036C --><-- ACK
026A01F194FFFFF19400000000FFFFFFFB7F036F --><-- ACK
026B01F195FFFFF19500000000FFFFFFFB7F036E --><-- ACK
026C01F196FFFFF19600000000FFFFFFFB7F0369 --><-- ACK
026D01F197FFFFF19700000000FFFFFFFB7F0368 --><-- ACK
026E01F198FFFFF19800000000FFFFFFFB7F036B --><-- ACK
026F01F199FFFFF19900000000FFFFFFFB7F036A --><-- ACK
027001F200FFFFF20000000000FFFFFFFB7F0375 --><-- ACK
027101F201FFFFF20100000000FFFFFFFB7F0374 --><-- ACK
027201F202FFFFF20200000000FFFFFFFB7F0377 --><-- ACK
027301F203FFFFF20300000000FFFFFFFB7F0376 --><-- ACK
027401F204FFFFF20400000000FFFFFFFB7F0371 --><-- ACK
027501F205FFFFF20500000000FFFFFFFB7F0370 --><-- ACK
027601F206FFFFF20600000000FFFFFFFB7F0373 --><-- ACK
027701F207FFFFF20700000000FFFFFFFB7F0372 --><-- ACK
027801F208FFFFF20800000000FFFFFFFB7F037D --><-- ACK
027901F209FFFFF20900000000FFFFFFFB7F037C --><-- ACK
027A01F210FFFFF21000000000FFFFFFFB7F037F --><-- ACK
027B01F211FFFFF21100000000FFFFFFFB7F037E --><-- ACK
027C01F212FFFFF21200000000FFFFFFFB7F0379 --><-- ACK
027D01F213FFFFF21300000000FFFFFFFB7F0378 --><-- ACK
027E01F214FFFFF21400000000FFFFFFFB7F037B --><-- ACK
027F01F215FFFFF21500000000FFFFFFFB7F037A --><-- ACK
028001F216FFFFF21600000000FFFFFFFB7F0385 --><-- ACK
028101F217FFFFF21700000000FFFFFFFB7F0384 --><-- ACK
028201F218FFFFF21800000000FFFFFFFB7F0387 --><-- ACK
028301F219FFFFF21900000000FFFFFFFB7F0386 --><-- ACK
028401F220FFFFF22000000000FFFFFFFB7F0381 --><-- ACK
028501F221FFFFF22100000000FFFFFFFB7F0380 --><-- ACK
028601F222FFFFF22200000000FFFFFFFB7F0383 --><-- ACK
028701F223FFFFF22300000000FFFFFFFB7F0382 --><-- ACK
028801F224FFFFF22400000000FFFFFFFB7F038D --><-- ACK
028901F225FFFFF22500000000FFFFFFFB7F038C --><-- ACK
028A01F226FFFFF22600000000FFFFFFFB7F038F --><-- ACK
028B01F227FFFFF22700000000FFFFFFFB7F038E --><-- ACK
028C01F228FFFFF22800000000FFFFFFFB7F0389 --><-- ACK
028D01F229FFFFF22900000000FFFFFFFB7F0388 --><-- ACK
