LOG CRIADO EM: 27/03/2016 14:22:37
ENVIANDO A PROGRAMAÇÃO:
026B0301040600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F036B --><-- ACK []
026C0301040700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F036D --><-- ACK []
026D0301040800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0363 --><-- ACK []
026E0301040000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0368 --><-- ACK []
026F0301040100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0368 --><-- ACK []
02700301050200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0375 --><-- ACK []
02710301050300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0375 --><-- ACK []
02720301050400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0371 --><-- ACK []
02730301050500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0371 --><-- ACK []
02740301050600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0375 --><-- ACK []
02750301050700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0375 --><-- ACK []
02760301050800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0379 --><-- ACK []
02770301050000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0370 --><-- ACK []
02780301050100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037E --><-- ACK []
02790301060200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037F --><-- ACK []
027A0301060300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037D --><-- ACK []
027B0301060400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037B --><-- ACK []
027C0301060500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037D --><-- ACK []
027D0301060600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037F --><-- ACK []
027E0301060700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F037D --><-- ACK []
027F0301060800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0373 --><-- ACK []
02800301060000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0384 --><-- ACK []
02810301060100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0384 --><-- ACK []
02820301070200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02830301070300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02840301070400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02850301070500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02860301070600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02870301070700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02880301070800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0385 --><-- ACK []
02890301070000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F038C --><-- ACK []
028A0301070100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F038E --><-- ACK []
028B07FFFFFFFF01FFFFFFFF107F039D --><-- ACK []
028C07FFFFFFFF02FFFFFFFF107F0399 --><-- ACK []
028D07FFFFFFFF03FFFFFFFF107F0399 --><-- ACK []
028E07FFFFFFFF04FFFFFFFF107F039D --><-- ACK []
028F07FFFFFFFF05FFFFFFFF107F039D --><-- ACK []
029007FFFFFFFF06FFFFFFFF107F0381 --><-- ACK []
029107FFFFFFFF07FFFFFFFF107F0381 --><-- ACK []
029207FFFFFFFF08FFFFFFFF107F038D --><-- ACK []
029307FFFFFFFF09FFFFFFFF107F038D --><-- ACK []
029407FFFFFFFF10FFFFFFFF107F0393 --><-- ACK []
0295080100FFFFFFFF7F039C --><-- ACK []
0296080200FFFFFFFF7F039C --><-- ACK []
0297080300FFFFFFFF7F039C --><-- ACK []
0298080400FFFFFFFF7F0394 --><-- ACK []
0299080500FFFFFFFF7F0394 --><-- ACK []
029A080600FFFFFFFF7F0394 --><-- ACK []
029B080700FFFFFFFF7F0394 --><-- ACK []
029C080800FFFFFFFF7F039C --><-- ACK []
029D057F0398 --><-- ACK []

